File_Name	Modern_English	Reformed_Word	Conjugations	Part_of_Speech
triumph	triumph	trîomphe	-s -d -ing	verb
they	they	þey		pronoun
they	them	þem		pronoun
they	their	þeir		pronoun, adjective
they	theirs	þeirs		pronoun, adjective
they	themselves	þemselfs		pronoun
trapeze	trapeze	trapize	-s	feminine noun, adjective
than	than	þan		preposition
toad	toad	tode,	toads	masculine noun
toad	toadstone	todestone,	todestoans	masculine noun
toad	toadstool	todestoule,	todestouls	masculine noun
traitor	traitor	traître,	traîtors	masculine noun
traitor	traitorous	traiterus		adjective
throne	throne	þrone,	þroans	masculine noun
taut	taut	toht		adjective
thorn	thorn	þorne,	þorns	masculine noun
thorn	thorny	þorny	-iar -iest	adjective
afraid	afraid	afréid		adjective
afraid	unafraid	unafréid		adjective
abundant	abundant	abondant	-ly	adjective
abundant	abundance	abondance		feminine noun
adventure	adventure	advențure,	advențurs	feminine noun
adventure	adventure	advențure	-s -d -ing	verb
ask	ask	asche	asc(s asched asching	verb
anatomy	anatomy	anàtomie	-is	feminine noun
anatomy	anatomic	anatomic		adjective
anatomy	anatomical	anatomical		adjective
anatomy	anatomize	anàtomyse	-s -d -ing	verb
audit	audit	audit	-s	masculine noun
audit	audit	audit	-s -ed -ing	verb
audit	audition	audicion	-s	feminine noun
audit	audition	audicione	-s -d -ing	verb
audit	auditor	auditor	-s	masculine noun
audit	auditorium	auditóriom	-s	feminine noun
audit	auditory	auditory		adjective
avalanche	avalanche	avalanc̃e	-s	masculine noun
account	account	accônte	-s -d -ing	verb
account	account	accônte,	accônts	feminine noun
account	accountability	accôntabilatie,	accôntabilatis	feminine noun
account	accountable	accôntable		adjective
account	accountancy	accôntancie,	accôntancis	feminine noun
account	acontant	accôntant	-s	feminine noun
ambush	ambush	ambusce	-s -d -ing	verb
ambush	ambush	ambusce	-s	masculine noun
adore	adore	adore	-s -d -ing	verb
adore	adoration	adorâcion	-s	feminine noun
adore	adorable	adórable	-y	adjective
anchor	anchor	âncre,	âncors	masculine noun
anchor	anchor	âncher	âncre(s âncred ânchering	verb
anchor	anchorage	âncrage	-s	masculine noun
apprentice	apprentice	apprèntice	-s	feminine noun
apprentice	apprentice	apprèntice	-s -d -ing	verb
apprentice	apprenticeship	apprènticescip		feminine noun
at	at	at		preposition
antique	antic	antic,	antix	masculine noun
antique	antique	antíc		adjective
antique	antique	antique,	antícs	feminine noun
antique	antique	antique	-ícs -d -ing	verb
antique	antiquate	antiquait	-s -ed -ing	verb
antique	antiquarian	antiquârian	-s	feminine noun
aid	aid	aide	-s -d -ing	verb
aid	aid	aide,	aids	masculine noun
aid	aide	aide,	aids	masculine noun
agent	agent	âgent	-s	adjective, masculine noun
agent	agency	âgencie,	âgencis	masculine noun
agent	agential	agencial		obs
absurd	absurd	absurde		adjective
absurd	absurdity	absurdetie	-is	feminine noun
absurd	absurdism	absûrdism		feminine noun
absurd	absurdist	absûrdist	-s	feminine noun
area	area	âria	-s	masculine noun
alien	alien	âlien		adjective, masculine noun
alien	alienable	âlienable		adjective
alien	alienage	âlienage	-s	masculine noun
alien	alienate	âlienait	-s -ed -ing	verb
alien	alienation	alienâcion	-s	feminine noun
alien	alienist	âlienist	-s	masculine noun
allocate	allocation	allocâcion	-s	feminine noun
allocate	allocate	allocait	-s -ed -ing	verb
anemone	anemone	anèmonie,	anèmonis	feminine noun
accurate	accurate	accurat		adjective
accurate	accuracy	accuracie		masculine noun
anarchy	anarchy	anarchie		masculine noun
anarchy	anarchic	anarchic		adjective
anarchy	anarchist	anarchist	-s	masculine noun
abuse	abuse	abuse	-s -d -ing	verb
abuse	abuse	abuse	-s	feminine noun
appendix	appendices	appendix,	appendicis	feminine noun
appendix	appendix	appendixe	-s -d -ing	verb
applaud	applaud	applaude	-s -d -ing	verb
applaud	applause	applause		feminine noun
allure	allure	alloure	-s -d -ing	verb
allure	allure	alloure		feminine noun
allure	allurement	allourement	-s	feminine noun
anonymous	anonym	anonim	-s	masculine noun
anonymous	anonymous	anonimus	-ly -ness	adjective
anonymous	anonymity	anonimatie	-is	feminine noun
Australia	Australia	Austrâlia		feminine noun
Australia	Australian	austrâlian	-s	adjective, feminine noun
admiral	admiral	amiral	-s	masculine noun
admiral	admiralship	amiralscip	-s	masculine noun
admiral	admiralty	amiraltie	-is	masculine noun
apologize	apologize	apologyse	-s -d -ing	verb
apologize	apology	apologie	-is	feminine noun
apologize	apologetic	apologetic	-s	adjective, feminine noun
apologize	apologia	apológia	-s	feminine noun
amuse	amuse	amuse	-s -d -ing	verb
amuse	amusable	amúsable		adjective
amuse	amusement	amusement	-s	feminine noun
attribute	attribute	attribute	-s -d -ing	verb
attribute	attribute	attribute,	attribuits	masculine noun
attribute	attribution	attribúcion	-s	feminine noun
attribute	attributive	attributif	-vly	adjective
ail	ail	aile	-s -d -ing	verb
ail	ailment	ailement	-s	masculine noun
assist	assist	assiste	-s -d -ing	verb
assist	assist	assiste,	assïsts	feminine noun
assist	assistant	assistent	-s	adjective, feminine noun
assist	assistance	assistence		feminine noun
allegiance	allegiance	alliegence	-s	feminine noun
arm	arm	arme,	arms	masculine noun
arm	arm	arme	-s -d -ing	verb
arm	army	armie,	armis	masculine noun
arm	armor	armere,	armars	masculine noun
arm	armor	armere	-s -d -ing	verb
arm	armory	armerie	-is	masculine noun
all	all	all		adjective, adverb, masculine noun, pronoun
arena	arena	arína	-s	feminine noun
arch	arch	arc̃e	-s	masculine noun
arch	arch	arc̃e	-s -d -ing	verb
arch	arch-	arc̃-,	arch-	adjective
assault	assault	assaulte,	assaults	feminine noun
assault	assault	assaulte	-s -d -ing	verb
aberration	aberrant	aberrant	-s -ly	adjective, masculine noun
aberration	aberration	aberrâcion	-s	feminine noun
arc	arc	arque,	arcs	masculine noun
arc	arc	arque	arc(s arqued arquing	verb
attorney	attorney	attornie	-is	feminine noun
attorney	attorn	attorne	-s -d -ing	verb
attorney	attornment	attornement	-s	feminine noun
abolish	abolish	abolișe	-s -d -ing	verb
abolish	abolishment	abolișement	-s	feminine noun
abolish	abolishable	abolișable		adjective
abolish	abolition	abolicion	-s	feminine noun
abolish	abolitionism	abolicionism		feminine noun
abolish	abolitionist	abolicionist	-s	feminine noun
assume	assume	assoume	-s -d -ing	verb
assume	assumption	assomption	-s	feminine noun
assume	assumptive	assomptif		adjective
abase	abase	abâsse	-s -d -ing	verb
abase	abasement	abâssement	-s	feminine noun
avoid	avoid	avoide	-s -d -ing	verb
arise	arise	arîse	-s arose arisan -ing	verb
address	address	addresse	-s -d -ing	verb
address	address	address	-es, addie -is	masculine noun
approach	approach	approc̃e	-s -d -ing	verb
approach	approach	approc̃e	-s	feminine noun
approach	approachable	approc̃able		adjective
avail	avail	avâle	-s -d -ing	verb
angle	angle	ângle,	ânguls	masculine noun
angle	angular	ângular		adjective
angle	angularity	angularetie,	angularetis	feminine noun
angle	angle	ângle	-s -d -ing	verb
angle	Angles	ânguil	-s	masculine noun, adjective
asterisk	asterisk	asterisc	-s	masculine noun
anxious	anxious	ânxieus	-ly	adjective
anxious	anxiety	anxîetie	-is	feminine noun
approve	approve	approuve	-s -d -ing	verb
approve	approval	approuval	-s	feminine noun
autoimmune	autoimmune	autoïmmune		adjective
apple	apple	apple,	appels	masculine noun
apple	appletree	apple	trie, tris	masculine noun
apple	appleseed	apple	syde, syds	masculine noun
apple	applesauce	apple	sauce -s	masculine noun
apple	apple-pie	apple	pîhe	masculine noun
apple	pineapple	pînapple,	pînappels	masculine noun
aesthetic	aesthetic	aisþetic	-s -ly	feminine noun, adjective
aesthetic	aesthete	aisþite,	aisþiets	masculine noun
aesthetic	aestheticism	aisþeticism		feminine noun
aesthetic	aesthetician	aisþetician	-s	feminine noun
aesthetic	aestheticist	aisþeticist	-s	feminine noun
aesthetic	aestheticize	aisþeticyse	-s -d -ing	verb
algebra	algebraic	algebrâic		adjective
anguish	anguish	ângoișe	-s -d -ing	verb
anguish	anguish	ângoișe		masculine noun
anger	anger	ângre	-s -d ângaring	verb
anger	anger	ângre		masculine noun
anger	angry	ângry	-iar -iest -ily	adjective
accompany	accompany	accompanie	-s -d accompanying	verb
accompany	accompanist	accompanist	-s	feminine noun
accompany	accompaniment	accompeniment	-s	feminine noun
accuse	accusation	accusâcion		feminine noun
accuse	accusative	accúsatif		adjective
accuse	accusatory	accúsatory		adjective
alight	alight	alîhte	-s alit -ing	verb
alight	alight	aloiht		adjective
aboard	aboard	abórd		preposition
analogous	analogous	anàlogus		adjective
Arkansas	Arkansas	Arcansau		masculine noun
Arkansas	Arkansan	arcànsan	-s	adjective, feminine noun
around	around	arônd		preposition
attempt	attempt	attempte	attemps -d -ing	verb
Alaska	Alaska	Alàsca		feminine noun
Alaska	Alaskan	alàscan	-s	adjective, feminine noun
anesthesia	anesthesia	anesþísia		feminine noun
anesthesia	anesthetist	anèsþetist	-s	feminine noun
anesthesia	anesthetic	anesþetic	-s -ly	adjective, feminine noun
achieve	achieve	ac̃ieve	-s -d -ing	verb
achieve	achievable	ac̃ievable	-y	adjective
achieve	achievement	ac̃ievement	-s	feminine noun
aisle	aisle	aiele,	aiels	masculine noun
aisle	aileron	aileron	-s	masculine noun
afternoon	afternoon	aftrenoune,	aftrenouns	feminine noun
alias	alius	âlias,	âliases	masculine noun
audacity	audacious	audâceus	-ly	adjective
audacity	audacity	audacetie	-is	feminine noun
amid	amid	amid		preposition
apply	apply	applîe	-s -d -yhing	verb
apply	appliance	applîance	-s	feminine noun
apply	applicant	applicant	-s	adjective, masculine noun
apply	application	applicâcion	-s	feminine noun
apply	applicable	applicable	-y	adjective
apply	applicator	applicaitor	-s	masculine noun
any	any	eny		adjective
any	anything	enyþing		pronoun, masculine noun, adverb
ache	ache	âche	âc(s -d -ing	verb
ache	ache	âc,	aix	masculine noun
ache	achy	âchy		adjective
accomplice	accomplice	accomplice	-s	feminine noun
admit	admit	admit,	admits	masculine noun
admit	admit	admitte	-s -d -ing	verb
admit	admittance	admittence	-s	feminine noun
admit	admission	admission	-s	feminine noun
admit	re-admit	riadmitte	-s -d -ing	verb
astound	astound	astônde	-s -d -ing	verb
astound	astonish	astonișe	-s -d -ing	verb
astound	astonishment	astonișement	-s	feminine noun
annoy	annoy	annoie	-s -d annoying	verb
annoy	annoyance	annoyance	-s	feminine noun
agree	agree	agríe	-s -d -ÿing	verb
agree	agreement	agríment	-s	feminine noun
agree	agreeable	agríable	-y -ness	adjective
aim	aim	éime	-s -d -ing	verb
aim	aim	éime,	éims	masculine noun
aim	aimless	éimless	-ly	adjective
accept	accept	accepte	acceps -d -ing	verb
accept	acceptance	accèptance		feminine noun
accept	acceptable	accèptable		adjective
accept	acceptability	acceptabilatie,	acceptabilatis	feminine noun
ape	ape	âpe,	âps	adjective, masculine noun
ape	ape	âpe	-s -d -ing	verb
accomplish	accomplish	accomplișe	-s -d -ing	verb
accomplish	accomplishment	accomplișement	-s	feminine noun
accomplish	accomplishable	accomplișable		adjective
America	America	Amèrica	-s	feminine noun
adorn	adorn	adorne	-s -d -ing	verb
adorn	adornment	adornement	-s	feminine noun
aware	aware	aüair		adjective
agile	agile	agil		adjective
agile	agility	agilatie	-is	feminine noun
arid	arid	ârid		adjective
arrow	arrow	earo	-s	masculine noun
as	as	as		preposition
animal	animal	animal	-s	adjective, masculine noun
animal	animalism	animalism		masculine noun
animal	animalistic	animalistic	-ly	adjective
admonish	admonish	admonișe	-s -d -ing	verb
admonish	admonition	admonicion	-s	feminine noun
after	after	aftre		preposition
adhere	adhere	adhier	adhire(s adhired adhiering	verb
adhere	adherence	adhirence	-s	feminine noun
adhere	adherent	adhirent	-s	adjective, feminine noun
adhere	adhesive	adhíssif	-s	adjective, feminine noun
adhere	adhesion	adhísion	-s	feminine noun
animate	animate	animait	-s -ed -ing	verb
animate	animate	animat	-ly	adjective
animate	animator	animaitor	-s	masculine noun
animate	animation	animâcion	-s	feminine noun
animate	anime	animei	-s	masculine noun
abandon	abandon	abàndone	-s -d -ing	verb
abandon	abandon	abàndon		feminine noun
abandon	abandonment	abàndonment		feminine noun
assign	assign	assigne	-s -d -ing	verb
assign	assignment	assignement	-s	feminine noun
assign	assignation	assignâcion	-s	feminine noun
assign	assignee	assigníe,	assignís	feminine noun
attire	attire	attîer	attîre(s attîred attîering	verb
attire	attire	attîre,	attîars	feminine noun
attire	tire	tîre,	tîars	feminine noun
air	air	aire,	airs	masculine noun
air	air	aire	-s -d -ing	verb
air	aerial	airial		adjective
air	aerobatics	airobatics		feminine noun
air	airplane	airplâne,	airplâns	masculine noun
air	aerospace	airospâce	-s	masculine noun
air	airspace	airspâce	-s	masculine noun
Austria	Austria	Òstria		masculine noun
Austria	Austrian	òstrian		adjective
Austria	Austro-	òstro-		prefix
allege	allege	allege	-s -d -ing	verb
allege	alleger	allegeur	-s	feminine noun
allege	alleged	allegid	-ly	adjective
allege	allegation	allegâcion	-s	feminine noun
artillery	artillery	artillerie,	artilleris	feminine noun
artillery	artillerist	artillerist	-s	feminine noun
allow	allowance	allôance	-s	feminine noun
absorb	absorb	absorbe	-s -d -ing	verb
absorb	absorption	absorption		feminine noun
admire	admire	admîer	admîre(s admîred admîering	verb
admire	admirer	admîreur	-s	feminine noun
